"set","OA_with_date","OA_no_date","variables","set_name"
175,0.969319271332694,0.965484180249281,"NBR2, B8A, MSAVI2, BSI8A, VH_variance","mixed"
176,0.963566634707574,0.957813998082454,"NBR2, B8A, MSAVI2, RVI_buff, VH_mean","mixed"
177,0.962607861936721,0.958772770853308,"NBR2, B8A, MSAVI2, RVI_buff, VH_variance","mixed"
178,0.962607861936721,0.961649089165868,"NBR2, B8A, MSAVI2, VH_mean, VH_variance","mixed"
179,0.964525407478428,0.954937679769895,"NBR2, B8A, BSI8A, RVI_buff, VH_mean","mixed"
180,0.964525407478428,0.956855225311601,"NBR2, B8A, BSI8A, RVI_buff, VH_variance","mixed"
181,0.965484180249281,0.950143815915628,"NBR2, B8A, BSI8A, VH_mean, VH_variance","mixed"
182,0.953978906999041,0.935762224352828,"NBR2, B8A, RVI_buff, VH_mean, VH_variance","mixed"
183,0.957813998082454,0.952061361457335,"NBR2, MSAVI8A, MSAVI2, BSI8A, RVI_buff","mixed"
184,0.956855225311601,0.947267497603068,"NBR2, MSAVI8A, MSAVI2, BSI8A, VH_mean","mixed"
185,0.954937679769895,0.946308724832215,"NBR2, MSAVI8A, MSAVI2, BSI8A, VH_variance","mixed"
186,0.946308724832215,0.930009587727709,"NBR2, MSAVI8A, MSAVI2, RVI_buff, VH_mean","mixed"
187,0.950143815915628,0.934803451581975,"NBR2, MSAVI8A, MSAVI2, RVI_buff, VH_variance","mixed"
188,0.946308724832215,0.937679769894535,"NBR2, MSAVI8A, MSAVI2, VH_mean, VH_variance","mixed"
189,0.953978906999041,0.944391179290508,"NBR2, MSAVI8A, BSI8A, RVI_buff, VH_mean","mixed"
190,0.953020134228188,0.947267497603068,"NBR2, MSAVI8A, BSI8A, RVI_buff, VH_variance","mixed"
191,0.953978906999041,0.950143815915628,"NBR2, MSAVI8A, BSI8A, VH_mean, VH_variance","mixed"
192,0.943432406519655,0.935762224352828,"NBR2, MSAVI8A, RVI_buff, VH_mean, VH_variance","mixed"
193,0.956855225311601,0.943432406519655,"NBR2, MSAVI2, BSI8A, RVI_buff, VH_mean","mixed"
194,0.956855225311601,0.942473633748802,"NBR2, MSAVI2, BSI8A, RVI_buff, VH_variance","mixed"
195,0.954937679769895,0.945349952061361,"NBR2, MSAVI2, BSI8A, VH_mean, VH_variance","mixed"
196,0.946308724832215,0.930968360498562,"NBR2, MSAVI2, RVI_buff, VH_mean, VH_variance","mixed"
197,0.948226270373921,0.936720997123682,"NBR2, BSI8A, RVI_buff, VH_mean, VH_variance","mixed"
198,0.939597315436242,0.926174496644295,"B8A, MSAVI8A, MSAVI2, BSI8A, RVI_buff","mixed"
199,0.945349952061361,0.926174496644295,"B8A, MSAVI8A, MSAVI2, BSI8A, VH_mean","mixed"
200,0.936720997123682,0.926174496644295,"B8A, MSAVI8A, MSAVI2, BSI8A, VH_variance","mixed"
201,0.927133269415149,0.912751677852349,"B8A, MSAVI8A, MSAVI2, RVI_buff, VH_mean","mixed"
